,,,,,,,,,,,,,,,,,,
,,SRS,,,Adjusted,,,,,,,,,,,,,
Rk,School,Conf,,AP Rank,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
104,Furman,Southern,,,27,7,82.1,71.2,10.88,,-3.9,,7.25,-2.15,5.1,109.21,102.1,7.11
105,UC Irvine,Big West,,,23,11,75.3,66.7,8.56,,-0.64,,3.61,1.47,5.08,102.62,95.73,6.89
106,Temple,AAC,,,16,16,69.6,70.2,-0.63,,5.59,,1.88,3.09,4.97,102.57,95.39,7.18
107,Hofstra,CAA,,,24,9,74.7,65.4,9.3,,-3.19,,2.8,2.11,4.9,104.05,96.67,7.37
108,Grand Canyon,WAC,,,24,11,75.3,66.8,8.49,,1,,2.37,2.25,4.62,106.24,100.06,6.18
109,Akron,MAC,,,22,11,74.6,66.9,7.7,,-1.23,,1.2,3.4,4.61,104.56,98.05,6.51
110,Southern Mississippi,Sun Belt,,,25,7,74.3,65.4,8.81,,-1.76,,2.16,2.08,4.24,101.52,95.65,5.87
111,Louisiana,Sun Belt,,,26,7,78,69.8,8.21,,-0.93,,5.39,-1.28,4.1,106.37,100.37,6
112,Duquesne,A-10,,,20,12,74.8,70.9,3.94,,0.13,,3.39,0.68,4.07,103.96,98.03,5.93
113,UC Santa Barbara,Big West,,,27,7,72.2,65.6,6.56,,-2.18,,0.68,3.21,3.88,105.56,100,5.56
114,Louisiana State,SEC,,,14,19,67.6,70.7,-3.12,,6.95,,0.18,3.65,3.83,102.95,98.3,4.65
115,South Alabama,Sun Belt,,,19,16,70.9,65.2,5.74,,-0.26,,-0.55,4.36,3.8,102.77,96.7,6.06
116,Southern Utah,WAC,,,22,12,82.7,74.4,8.32,,2.17,,9.25,-5.48,3.77,105.19,100.14,5.05
117,Charlotte,CUSA,,,18,14,66.7,62.8,3.97,,-0.37,,-4.45,8.06,3.6,104.72,99.28,5.44
118,Fresno State,MWC,,,11,20,63.7,65.7,-2,,5.72,,-4.02,7.23,3.22,99.33,95.28,4.05
119,Princeton,Ivy,,,21,8,76,68.6,7.45,,-2.95,,2.95,0.17,3.13,103.36,99.29,4.08
120,DePaul,Big East,,,10,23,71.2,77.3,-6.12,,9.06,,4.57,-1.63,2.94,102.48,98.17,4.31
,,,,,,,,,,,,,SRS,,,Adjusted,,
Rk,School,Conf,,AP Rank,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
121,Hawaii,Big West,,,22,11,66.9,61.8,5.12,,-1.74,,-4.42,7.21,2.79,97.31,93.17,4.14
122,Middle Tennessee,CUSA,,,19,14,70.1,67.8,2.33,,1.75,,0.1,2.52,2.62,101.11,97.35,3.76
123,Wyoming,MWC,,,9,22,69.2,72.1,-2.9,,6.7,,0.84,1.76,2.6,103.69,100.62,3.07
124,Air Force,MWC,,,14,18,66.9,67.1,-0.13,,2.7,,-2.64,5.21,2.57,102.71,99.44,3.27
125,Fordham,A-10,,,25,8,72,67.6,4.39,,-2,,1.24,1.16,2.39,98.35,95.21,3.14
126,Montana State,Big Sky,,,25,9,74.2,66.6,7.59,,-1.72,,-1.86,4.23,2.37,98.97,95.52,3.45
127,Belmont,MVC,,,21,11,76.5,71.8,4.63,,-1.52,,5.19,-2.91,2.29,105.86,102.63,3.23
128,Colgate,Patriot,,,26,8,78.6,69,9.62,,-6.63,,5.07,-2.79,2.28,107.4,104.1,3.31
129,Cal State Fullerton,Big West,,,20,13,69.2,65.1,4.09,,0.21,,-1.6,3.81,2.21,98.81,95.73,3.08
